parameters,,,,,,,
command,triggerType,order,pname,required,varProgram,proberPname,proberRequired
CANCEL-MEAS,CMD,1,PortID,1,,,
CHANGE-OCR-STATE,CMD,1,RequestedOCRState,1,,,
CLOSE-LOT,CMD,1,PortID,1,,,
PP-SELECT,CMD,1,CarrierID,1,,,
PP-SELECT,CMD,10,ProductID,1,,,
PP-SELECT,CMD,11,PortID,1,,,
PP-SELECT,CMD,12,TestPlanName,1,,,
PP-SELECT,CMD,13,DieTestSpecNames,0,,,
PP-SELECT,CMD,14,TestSpecFileName,0,,,
PP-SELECT,CMD,2,DieSpecFileName,0,,,
PP-SELECT,CMD,3,WaferSpecFileName,0,,,
PP-SELECT,CMD,4,LimitFileName,1,,,
PP-SELECT,CMD,5,LotID,1,,,
PP-SELECT,CMD,6,OperatorID,1,,,
PP-SELECT,CMD,7,PPExecName,1
PP-SELECT,CMD,8,ProbeSpecFileName,1
PP-SELECT,CMD,9,ProberRecipeFileName,1
RETEST,CMD,1,PortID,1
START,CMD,1,PortID,1
Bind,CA,1,PortID,1
Bind,CA,2,CarrierID,1
Bind,CA,3,CarrierAttributeList,0
CancelBind,CA,1,PortID,1
CancelBind,CA,2,CarrierID,1
CarrierNotification,CA,1,CarrierID,1
CarrierNotification,CA,2,CarrierAttributeList,0
CancelCarrierNotification,CA,1,CarrierID,1
