commands,,
spname,command,isProcessing
tester,ABORT,1
tester,CANCEL-MEAS,1
tester,CHANGE-OCR-STATE,1
tester,CLOSE-LOT,1
tester,PAUSE,1
tester,PP-SELECT,1
tester,RETEST,1
tester,RESUME,1
tester,RUN-CONTINUITY,1
tester,RUN-DIAGNOSTIC,1
tester,START,1
tester,STOP,1
