transitions,,,,,,
CMD,CHANGE-OCR-STATE,Port,PENDINGCOMPLETE,PENDINGCOMPLETE
CMD,CHANGE-OCR-STATE,Port,READY,READY
CMD,CHANGE-OCR-STATE,Port,RELEASED,RELEASED
CMD,CHANGE-OCR-STATE,Port,RELEASING,RELEASING
CMD,CHANGE-OCR-STATE,Port,REREADY,REREADY
CMD,CHANGE-OCR-STATE,Port,RESETUP,RESETUP
CMD,CHANGE-OCR-STATE,Port,SETTINGUP,SETTINGUP
CMD,CHANGE-OCR-STATE,Port,STANDBY,STANDBY
CMD,CHANGE-OCR-STATE,Port,STARTING,STARTING
CMD,CHANGE-OCR-STATE,Port,SUBLOTCOMPLETE,SUBLOTCOMPLETE
CMD,CHANGE-OCR-STATE,Port,SUBLOTSTART,SUBLOTSTART
CMD,CLOSE-LOT,Port,PENDINGCLOSE,LOTCOMPLETE
CMD,CLOSE-LOT,Port,PENDINGCOMPLETE,LOTCOMPLETE
CMD,PAUSE,Equip,PROCESSING,PAUSING
CMD,PP-SELECT,Equip,IDLEREADY,PROCESSING
CMD,PP-SELECT,Equip,PROCESSING,PROCESSING
CMD,PP-SELECT,Port,STANDBY,SETTINGUP
CMD,PP-SELECT,Port,PENDINGCLOSE,RESETUP
CMD,PP-SELECT,Port,PENDINGCOMPLETE,RESETUP
CMD,PP-SELECT,CarrierID,IDVERIFICATIONOK,IDVERIFICATIONOK
CMD,PP-SELECT,SlotMap,SLOTMAPVERIFICATIONOK,SLOTMAPVERIFICATIONOK
CMD,RESUME,Equip,PAUSED,CHECKING
CMD,RETEST,Port,PENDINGCOMPLETE,STARTING
CMD,RUN-CONTINUITY,Equip,IDLEREADY,IDLEREADY
CMD,RUN-DIAGNOSTICS,Equip,IDLEREADY,IDLEREADY
CMD,START,Port,READY,STARTING
CMD,START,Port,REREADY,STARTING
CMD,STOP,Equip,ALARMPAUSED,STOPPING
CMD,STOP,Equip,CHECKING,STOPPING
CMD,STOP,Equip,PAUSED,STOPPING
CMD,STOP,Equip,PAUSING,STOPPING
CMD,STOP,Equip,PROCESSING,STOPPING
CMD,STOP,Equip,IDLEREADY,IDLEREADY,,
EVENT,Aborted,Equip,IDLEREADY,IDLEREADY,,
EVENT,Aborted,Equip,ABORTING,IDLEREADY
EVENT,Aborted,Port,DIESTART,STANDBY
EVENT,Aborted,Port,DIEEND,STANDBY
EVENT,Aborted,Port,LOTCOMPLETE,STANDBY
EVENT,Aborted,Port,LOTSTART,STANDBY
EVENT,Aborted,Port,PENDINGCLOSE,STANDBY
EVENT,Aborted,Port,PENDINGCOMPLETE,STANDBY
EVENT,Aborted,Port,READY,STANDBY
EVENT,Aborted,Port,REREADY,STANDBY
EVENT,Aborted,Port,RELEASING,STANDBY,
EVENT,Aborted,Port,RELEASED,STANDBY,
EVENT,Aborted,Port,RESETUP,STANDBY,
EVENT,Aborted,Port,SETTINGUP,STANDBY,
EVENT,Aborted,Port,STANDBY,STANDBY,
EVENT,Aborted,Port,STARTING,STANDBY,
EVENT,Aborted,Port,SUBLOTCOMPLETE,STANDBY,
EVENT,Aborted,Port,SUBLOTSTART,STANDBY,
EVENT,Aborted,Job,EMPTY,EMPTY,
EVENT,Aborted,Job,CANCELLING,EMPTY,
EVENT,Aborted,Job,STARTED,EMPTY,
EVENT,Aborted,Job,PRESENT,EMPTY,
EVENT,AlarmCleared,Equip,ABORTING,ABORTING,PostAlarmCleared Tester
EVENT,AlarmCleared,Equip,ALARMPAUSED,PAUSED,PostAlarmCleared Tester
EVENT,AlarmCleared,Equip,IDLEREADY,IDLEREADY,PostAlarmCleared Tester
EVENT,AlarmCleared,Equip,IDLEWITHALARMS,IDLEWITHALARMS,PostAlarmCleared Tester
EVENT,AlarmCleared,Equip,INIT,INIT,PostAlarmCleared Tester,
EVENT,AlarmCleared,Equip,STOPPING,STOPPING,PostAlarmCleared Tester,
EVENT,AlarmCleared,Equip,WORKSTATIONREADY,WORKSTATIONREADY,PostAlarmCleared Tester,
EVENT,DieEnd,Port,DIESTART,DIEEND,,
EVENT,DieStart,Port,DIEEND,DIESTART,,
EVENT,DieStart,Port,SUBLOTSTART,DIESTART,,
EVENT,IdleNotReady,Equip,IDLEREADY,IDLENOTREADY,,
EVENT,IdleReady,Equip,IDLENOTREADY,IDLEREADY,,
EVENT,InitComplete,Equip,INIT,IDLEREADY,,
EVENT,LotCancel,Job,BUILDING,CANCELLING,,
EVENT,LotCancel,Job,PRESENT,PRESENT,,
EVENT,LotCancel,Job,CANCELLING,CANCELLING,,
EVENT,LotCancel,Job,EMPTY,EMPTY,,
EVENT,LotCancel,Port,READY,STANDBY,,JobCancelTester
EVENT,LotCancel,Port,SETTINGUP,STANDBY,,JobCancelTester
EVENT,LotComplete,Port,LOTCOMPLETE,RELEASING,,
EVENT,LotComplete,Port,SUBLOTCOMPLETE,RELEASING,,
EVENT,LotFinish,Port,REREADY,PENDINGCLOSE,,
EVENT,LotCancel,Port,REREADY,PENDINGCLOSE,,
EVENT,LotStart,Port,PENDINGCOMPLETE,LOTSTART,,
EVENT,LotStart,Port,STARTING,LOTSTART,,
EVENT,Paused,Equip,ABORTING,ABORTING,,
EVENT,Paused,Equip,CHECKING,PAUSED,,
EVENT,Paused,Equip,PAUSING,PAUSED,,
EVENT,Paused,Equip,STOPPING,STOPPING,,
EVENT,PendingComplete,Port,SUBLOTCOMPLETE,PENDINGCOMPLETE,,
EVENT,PPBadCompile,Port,SETTINGUP,STANDBY,,JobCancelTester
EVENT,PPBadCompile,Port,RESETUP,PENDINGCLOSE,,
EVENT,PPBadCompile,Job,BUILDING,CANCELLING,,
EVENT,PPBadCompile,Job,PRESENT,PRESENT,,
EVENT,PPBadCompile,Job,CANCELLING,CANCELLING,,
EVENT,PPBadCompile,Job,EMPTY,EMPTY,,
EVENT,PPBadCompile,Job,STARTED,STARTED,,
EVENT,ProberAlarmCleared,Equip,ALARMPAUSED,PAUSED,PostAlarmCleared Prober,
EVENT,ProberAlarmCleared,Equip,IDLEWITHALARMS,IDLEWITHALARMS,PostAlarmCleared Prober,
EVENT,ProberRecipe,Port,SETTINGUP,SETTINGUP,,JobCreate
EVENT,ProberRecipe,Port,RESETUP,RESETUP,,JobCreate
EVENT,RecipeVerified,Port,SETTINGUP,READY,,
EVENT,RecipeVerified,Port,RESETUP,REREADY,,
EVENT,Reset,Equip,ABORTED,WORKSTATIONREADY,,
EVENT,Reset,Equip,ABORTING,WORKSTATIONREADY,,
EVENT,Reset,Equip,ALARMPAUSED,WORKSTATIONREADY,,
EVENT,Reset,Equip,CHECKING,WORKSTATIONREADY,,
EVENT,Reset,Equip,IDLENOTREADY,WORKSTATIONREADY,,
EVENT,Reset,Equip,IDLEREADY,WORKSTATIONREADY,,
EVENT,Reset,Equip,IDLEWITHALARMS,WORKSTATIONREADY,,
EVENT,Reset,Equip,INIT,WORKSTATIONREADY,,
EVENT,Reset,Equip,PAUSED,WORKSTATIONREADY,,
EVENT,Reset,Equip,PAUSING,WORKSTATIONREADY,,
EVENT,Reset,Equip,PROCESSING,WORKSTATIONREADY,,
EVENT,Reset,Equip,STOPPING,WORKSTATIONREADY
EVENT,Reset,Equip,WORKSTATIONREADY,WORKSTATIONREADY
EVENT,Reset,Port,STANDBY,STANDBY
EVENT,Reset,Port,SETTINGUP,STANDBY
EVENT,Reset,Port,READY,STANDBY
EVENT,Reset,Port,REREADY,STANDBY
EVENT,Reset,Port,STARTING,STANDBY
EVENT,Reset,Port,LOTSTART,STANDBY
EVENT,Reset,Port,SUBLOTSTART,STANDBY
EVENT,Reset,Port,DIESTART,STANDBY
EVENT,Reset,Port,DIEEND,STANDBY
EVENT,Reset,Port,SUBLOTCOMPLETE,STANDBY
EVENT,Reset,Port,PENDINGCOMPLETE,STANDBY
EVENT,Reset,Port,PENDINGCLOSE,STANDBY
EVENT,Reset,Port,LOTCOMPLETE,STANDBY
EVENT,Reset,Port,RESETUP,STANDBY
EVENT,Reset,Port,RELEASING,STANDBY
EVENT,Reset,Port,RELEASED,STANDBY
